StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q31_1,Q48_1,Q35_1,Q45_1,Q34_1,Q41,Q36,Q37,Q38,Q39,Q17,Q19,Q21,Q23,Q25,Q7,Q9,Q11,Q13,Q15,Q27,Q29,Q31,Q33,Q35,Q37,Q39,Q41,Q43,Q45,Q47,mTurkCode,photo_block,obama_photo,policy
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are being asked to volunteer in a research
study. The purpose of the study is to better understand what everyday think about political figures and policies in the U.S.   If you agree to participate, your
part will be to read a set of instructions and answer some short questions. It
should take around 5 minutes of your time. Your answers are anonymous and handled with
full confidentiality.     There are no foreseeable risks or
costs to you for participating in this study. Your participation is completely
voluntary. You do not have to participate if you do not want to.   If you have any questions, concerns, or complaints about the
study, you may contact Gabriel Borelli at gborelli@princeton.edu.  You can also contact the Princeton University Institutional Review
Board at irb@princeton.edu.  If you answer ""I would like
to participate"" below, it means that you have read the information
contained in this form and would like to be a volunteer in this research
study.","We would like to
get your feelings toward former Vice President Joe Biden using something we call the feeling
thermometer. Ratings between 50 degrees and 100 degrees mean that you feel
favorable and warm toward Biden Ratings between 0 degrees and 50
degrees mean that you don't feel favorable toward Biden and that you
don't care too much for him. You would rate Biden at the 50
degree mark if you don't feel particularly warm or cold toward him. - Vice President Joe Biden","We would like to
get your feelings toward former Vice President Joe Biden using something we call the feeling
thermometer. Ratings between 50 degrees and 100 degrees mean that you feel
favorable and warm toward Biden Ratings between 0 degrees and 50
degrees mean that you don't feel favorable toward Biden and that you
don't care too much for him. You would rate Biden at the 50
degree mark if you don't feel particularly warm or cold toward him. - Vice President Joe Biden","We would like to
get your feelings toward former Secretary of State Hillary Clinton using something we call the feeling
thermometer. Ratings between 50 degrees and 100 degrees mean that you feel
favorable and warm toward Clinton. Ratings between 0 degrees and 50
degrees mean that you don't feel favorable toward Clinton and that you
don't care too much for her. You would rate Clinton at the 50
degree mark if you don't feel particularly warm or cold toward her. - Secretary of State Hillary Clinton","We would like to
get your feelings toward former Secretary of State Hillary Clinton using something we call the feeling
thermometer. Ratings between 50 degrees and 100 degrees mean that you feel
favorable and warm toward Clinton. Ratings between 0 degrees and 50
degrees mean that you don't feel favorable toward Clinton and that you
don't care too much for her. You would rate Clinton at the 50
degree mark if you don't feel particularly warm or cold toward her. - Secretary of State Hillary Clinton","We would now like to
get your feelings toward former President Barack Obama. - President Barack Obama","Please select the color ""green"" to answer this question","In recent years, various members of Congress
have repeatedly expressed interest in withdrawing U.S. troops from the Middle
East and elsewhere abroad.  What do you
think about the idea of pulling troops out of the Middle East and elsewhere
abroad? Is it a:","In recent years, former Democratic President
Obama has repeatedly expressed interest in withdrawing U.S. troops from the
Middle East and elsewhere abroad.  What
do you think about the idea of pulling troops out of the Middle East and
elsewhere abroad? Is it a:","In recent years, former Democratic presidential
nominee Hillary Clinton has repeatedly expressed interest in withdrawing U.S.
troops from the Middle East and elsewhere abroad.  What do you think about the idea of pulling
troops out of the Middle East and elsewhere abroad? Is it a:","In recent years, former Democratic Vice President Joe Biden
has repeatedly expressed interest in withdrawing U.S. troops from the Middle
East and elsewhere abroad.  What do you
think about the idea of pulling troops out of the Middle East and elsewhere
abroad? Is it a:","I would prefer my son or daughter NOT be gay, lesbian, or bisexual because they would face unfair discrimination.","Gays, lesbians, and bisexuals make far too much noise about their sexuality.","Gays, lesbians, and bisexuals should stop shoving their lifestyle down everyone's throat.","Discrimination
		against gays, lesbians, and bisexuals is virtually nonexistent in today's
		society.","Most people do NOT treat gays, lesbians, and bisexuals as fairly as they treat everyone else.","Discrimination
against women is no longer a problem in the United States.","On
		average, women have lower incomes than men.","Society
has reached the point where women and men have equal opportunities
for achievement.","Over
the past few years, the government and news media have been showing
more concern about the treatment of women than is warranted by
women's actual experiences.","It
		is easy to understand why women's groups are still concerned about
		societal limitations of women's opportunities.","The Irish,
	Italian, and many other minorities overcame prejudice and
	worked their way up.  Black people should do the same without any
	special favors.",Generations of slavery and discrimination have created conditions that make it difficult for Black people to work their way out of the lower class.,"Over the past few years, Black people have gotten less than they deserve.",It’s really a matter of some people not trying hard enough; if Black people would only try harder they could be just as well off as white people.,"When it comes to politics, how do you typically think of yourself politically?","Generally speaking, which of the options on the scale below
best describes your party identification?",What is the highest level of education that you have completed?,"Which of the
following do you consider to be your primary racial or ethnic group?",Which of these terms best describes your sexual orientation?,Which of these terms best describes your gender identity?,"What
is your estimate of your family’s annual household income (before
taxes)?",mTurkCode,photo_block,obama_photo,policy
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID41""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""photo_block""}","{""ImportId"":""obama_photo""}","{""ImportId"":""policy""}"
2019-12-18 11:52:24,2019-12-18 11:54:10,Survey Preview,*******,100,105,True,2019-12-18 11:54:10,R_1C72F1nVWYf9yle,*******,*******,*******,*******,*******,*******,preview,EN,I would like to participate,,49,,,48,green,neither a good nor a bad idea,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly liberal,Independent (Lean Democrat),Some college,Native Hawaiian or Pacific Islander,Bisexual,Woman,"$30,000 - $69,999",2725647,0,1,0
2019-12-18 11:52:25,2019-12-18 11:55:09,Survey Preview,*******,100,163,True,2019-12-18 11:55:09,R_2dQiuJ5Nuj8Ts5o,*******,*******,*******,*******,*******,*******,preview,EN,I would like to participate,,,,100,95,blue,,,,pretty good idea,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Extremely liberal,Strong Democrat,Middle school/some high school,White,Queer,Nonbinary,"Greater than $200,000",4445138,1,1,3
2019-12-18 15:05:53,2019-12-18 15:07:18,Survey Preview,*******,100,84,True,2019-12-18 15:07:19,R_22WaLNt8hQTParT,*******,*******,*******,*******,*******,*******,preview,EN,I do not want to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275245,0,0,2
2019-12-18 15:08:24,2019-12-18 15:09:00,Survey Preview,*******,100,36,True,2019-12-18 15:09:01,R_3NTY4iHV9Mhai4A,*******,*******,*******,*******,*******,*******,preview,EN,I would like to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9812407,0,0,3
2019-12-18 15:16:48,2019-12-18 15:17:41,IP Address,*******,100,53,True,2019-12-18 15:17:42,R_2CcYhUgdvEChuPQ,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,52,,,,73,green,,,pretty good idea,,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Slightly conservative,Weak Republican,Some college,White,Heterosexual,Man,"$30,000 - $69,999",7614350,0,0,2
2019-12-18 15:16:41,2019-12-18 15:18:17,IP Address,*******,100,95,True,2019-12-18 15:18:17,R_50gkai9nkcR4DDz,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,10,70,green,very good idea,,,,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Slightly liberal,Independent (No partisan lean),Some college,White,Bisexual,Man,"$30,000 - $69,999",1983525,1,1,0
2019-12-18 15:17:32,2019-12-18 15:18:20,IP Address,*******,100,48,True,2019-12-18 15:18:20,R_r6ZGqN2DsFhMMQp,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,28,,,36,green,,,neither a good nor a bad idea,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderate or middle of the road,Independent (No partisan lean),Some college,White,Heterosexual,Man,"Less than $30,000",5682385,0,1,2
2019-12-18 15:16:54,2019-12-18 15:18:24,IP Address,*******,100,90,True,2019-12-18 15:18:25,R_2qDHC5cFTuykeHF,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,0,,,0,green,,,neither a good nor a bad idea,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Slightly conservative,Weak Republican,Four year college degree,White,Heterosexual,Man,"$30,000 - $69,999",1929679,0,1,2
